"seqnames","start","end","width","strand","source","type","score","phase","gene_id","gene_type","gene_name","level","havana_gene","tag"
"GL000220.1",105287,105376,90,"+","ENSEMBL","gene",90,NA,"ENSG00000276197.1","misc_RNA","pRNA","3",NA,NA
"GL000220.1",112025,112177,153,"+","ENSEMBL","gene",153,NA,"ENSG00000274917.1","rRNA","RNA5-8S5","3",NA,NA
"GL000220.1",149259,149348,90,"+","ENSEMBL","gene",90,NA,"ENSG00000273937.1","misc_RNA","pRNA","3",NA,NA
"GL000220.1",155997,156149,153,"+","ENSEMBL","gene",153,NA,"ENSG00000273730.1","rRNA","RNA5-8S5","3",NA,NA
"GL000225.1",183252,183364,113,"+","ENSEMBL","gene",113,NA,"ENSG00000276711.1","snRNA","U2","3",NA,NA
"GL000250.2",49218,49589,372,"-","HAVANA","gene",372,NA,"ENSG00000272603.1","processed_pseudogene","NOP56P1","2","OTTHUMG00000148686.1",NA
"GL000250.2",103454,104591,1138,"-","HAVANA","gene",709,NA,"ENSG00000272793.1","processed_transcript","XXbac-BPG308K3.5","2","OTTHUMG00000148688.1",NA
"GL000250.2",127000,127631,632,"+","HAVANA","gene",632,NA,"ENSG00000272613.1","processed_pseudogene","RPL13P","2","OTTHUMG00000148690.1",NA
"GL000250.2",125209,128934,3726,"-","HAVANA","gene",2458,NA,"ENSG00000272857.1","processed_transcript","LINC01623","2","OTTHUMG00000148687.1",NA
"GL000250.2",154416,155490,1075,"-","HAVANA","gene",1075,NA,"ENSG00000236614.1","processed_pseudogene","ZNF90P2","2","OTTHUMG00000148689.1",NA
"GL000250.2",162114,162906,793,"+","HAVANA","gene",413,NA,"ENSG00000234411.1","processed_transcript","HCG14","2","OTTHUMG00000148692.1",NA
"GL000250.2",181230,181329,100,"+","ENSEMBL","gene",100,NA,"ENSG00000264025.1","snRNA","U6","3",NA,NA
"GL000250.2",168586,189574,20989,"-","HAVANA","gene",7987,NA,"ENSG00000234495.7","protein_coding","TRIM27","2","OTTHUMG00000148849.1",NA
"GL000250.2",251788,253069,1282,"+","HAVANA","gene",1032,NA,"ENSG00000224642.2","processed_transcript","HCG15","2","OTTHUMG00000148693.1","overlapping_locus"
"GL000250.2",252385,254160,1776,"+","HAVANA","gene",317,NA,"ENSG00000241408.1","processed_transcript","HCG16","2","OTTHUMG00000148691.1","overlapping_locus"
"GL000250.2",260409,270941,10533,"-","HAVANA","gene",3176,NA,"ENSG00000225351.4","protein_coding","ZNF311","2","OTTHUMG00000148791.1",NA
"GL000250.2",292305,293232,928,"-","HAVANA","gene",928,NA,"ENSG00000236070.1","unprocessed_pseudogene","OR2AD1P","2","OTTHUMG00000148793.1",NA
"GL000250.2",309838,310865,1028,"-","HAVANA","gene",1028,NA,"ENSG00000226463.1","protein_coding","OR2W1","2","OTTHUMG00000148790.3",NA
"GL000250.2",351930,352936,1007,"-","HAVANA","gene",1007,NA,"ENSG00000233054.3","protein_coding","OR2B3","2","OTTHUMG00000148792.3",NA
"GL000250.2",366573,367511,939,"+","HAVANA","gene",939,NA,"ENSG00000234305.1","unprocessed_pseudogene","OR2J1","2","OTTHUMG00000148694.2",NA
"GL000250.2",377511,378446,936,"+","HAVANA","gene",936,NA,"ENSG00000226271.1","protein_coding","OR2J3","2","OTTHUMG00000148696.2",NA
"GL000250.2",389829,394527,4699,"+","HAVANA","gene",389,NA,"ENSG00000224229.1","processed_transcript","XXbac-BCX196D17.5","2","OTTHUMG00000148843.1",NA
"GL000250.2",403496,404432,937,"-","HAVANA","gene",937,NA,"ENSG00000229040.2","unprocessed_pseudogene","OR2N1P","2","OTTHUMG00000148695.1",NA
"GL000250.2",438929,440200,1272,"+","HAVANA","gene",1272,NA,"ENSG00000225550.4","protein_coding","OR2J2","2","OTTHUMG00000148699.3",NA
"GL000250.2",532565,532719,155,"+","HAVANA","gene",155,NA,"ENSG00000226799.1","processed_transcript","XXbac-BPG308J9.3","2","OTTHUMG00000148697.1",NA
"GL000250.2",534096,535055,960,"-","HAVANA","gene",960,NA,"ENSG00000230754.1","unprocessed_pseudogene","OR2U2P","2","OTTHUMG00000148698.1",NA
"GL000250.2",556363,557305,943,"+","HAVANA","gene",943,NA,"ENSG00000237690.1","unprocessed_pseudogene","OR2B4P","2","OTTHUMG00000148701.1",NA
"GL000250.2",572356,573321,966,"+","HAVANA","gene",966,NA,"ENSG00000236927.4","protein_coding","OR14J1","2","OTTHUMG00000148700.2",NA
"GL000250.2",688274,697631,9358,"-","HAVANA","gene",218,NA,"ENSG00000242289.1","processed_transcript","OR5V1","2","OTTHUMG00000148703.1","overlapping_locus"
"GL000250.2",704970,706641,1672,"+","HAVANA","gene",1672,NA,"ENSG00000230505.4","protein_coding","OR10C1","2","OTTHUMG00000148710.3",NA
"GL000250.2",710535,715763,5229,"-","HAVANA","gene",146,NA,"ENSG00000229181.1","processed_transcript","OR12D3","2","OTTHUMG00000148709.3","overlapping_locus"
"GL000250.2",691169,722731,31563,"-","HAVANA","gene",2864,NA,"ENSG00000232289.8","protein_coding","OR11A1","2","OTTHUMG00000148704.1","overlapping_locus"
"GL000250.2",722841,729989,7149,"+","HAVANA","gene",3708,NA,"ENSG00000229125.8","protein_coding","OR2H1","2","OTTHUMG00000148708.1",NA
"GL000250.2",730257,735467,5211,"-","HAVANA","gene",381,NA,"ENSG00000237421.1","unprocessed_pseudogene","UBDP1","2","OTTHUMG00000148706.1",NA
"GL000250.2",740686,741732,1047,"-","HAVANA","gene",1047,NA,"ENSG00000229136.1","unprocessed_pseudogene","MAS1LP1","2","OTTHUMG00000148702.1",NA
"GL000250.2",752427,753563,1137,"-","HAVANA","gene",1137,NA,"ENSG00000234954.3","protein_coding","MAS1L","2","OTTHUMG00000148707.2",NA
"GL000250.2",754933,755338,406,"-","HAVANA","gene",406,NA,"ENSG00000232974.3","processed_pseudogene","RPS17P1","2","OTTHUMG00000148705.1",NA
"GL000250.2",763171,776217,13047,"+","HAVANA","gene",877,NA,"ENSG00000224753.1","processed_transcript","XXbac-BPG13B8.10","2","OTTHUMG00000148711.1",NA
"GL000250.2",795087,799235,4149,"+","HAVANA","gene",2777,NA,"ENSG00000235788.5","processed_transcript","LINC01015","2","OTTHUMG00000148712.1",NA
"GL000250.2",803371,804454,1084,"-","HAVANA","gene",1084,NA,"ENSG00000227576.1","unprocessed_pseudogene","GPR53P","2","OTTHUMG00000148717.1",NA
"GL000250.2",818913,819860,948,"+","HAVANA","gene",948,NA,"ENSG00000226896.2","unprocessed_pseudogene","OR2I1P","2","OTTHUMG00000148769.1",NA
"GL000250.2",821307,825621,4315,"-","HAVANA","gene",990,NA,"ENSG00000226898.2","protein_coding","UBD","2","OTTHUMG00000148765.1","overlapping_locus"
"GL000250.2",839603,840530,928,"+","HAVANA","gene",928,NA,"ENSG00000229469.2","unprocessed_pseudogene","OR2H5P","2","OTTHUMG00000148767.1",NA
"GL000250.2",843154,843443,290,"+","HAVANA","gene",290,NA,"ENSG00000225305.2","processed_pseudogene","TMEM183AP1","2","OTTHUMG00000148770.1",NA
"GL000250.2",847943,848026,84,"+","ENSEMBL","gene",84,NA,"ENSG00000265634.1","snoRNA","SNORD32B","3",NA,NA
"GL000250.2",848202,848719,518,"+","HAVANA","gene",518,NA,"ENSG00000224053.1","processed_pseudogene","RPL13AP","2","OTTHUMG00000148764.1",NA
"GL000250.2",853148,854731,1584,"+","HAVANA","gene",1584,NA,"ENSG00000224319.4","protein_coding","OR2H2","2","OTTHUMG00000148762.1",NA
"GL000250.2",821307,898877,77571,"-","HAVANA","gene",7010,NA,"ENSG00000232569.8","protein_coding","GABBR1","2","OTTHUMG00000148761.2","overlapping_locus"
"GL000250.2",901773,902056,284,"-","HAVANA","gene",284,NA,"ENSG00000236971.3","processed_pseudogene","SUMO2P1","2","OTTHUMG00000148763.1",NA
"GL000250.2",922690,938080,15391,"+","HAVANA","gene",3058,NA,"ENSG00000234096.9","protein_coding","MOG","2","OTTHUMG00000148766.2",NA
"GL000250.2",938191,938841,651,"-","HAVANA","gene",651,NA,"ENSG00000227858.1","protein_coding","ZFP57","2","OTTHUMG00000148768.2",NA
"GL000250.2",1057586,1058560,975,"-","HAVANA","gene",975,NA,"ENSG00000236225.1","unprocessed_pseudogene","HCG4","2","OTTHUMG00000148732.1",NA
"GL000250.2",1056693,1063412,6720,"+","HAVANA","gene",5253,NA,"ENSG00000206507.9","transcribed_unprocessed_pseudogene","HLA-V","2","OTTHUMG00000148714.3",NA
"GL000250.2",1066038,1068045,2008,"+","HAVANA","gene",734,NA,"ENSG00000260538.1","unprocessed_pseudogene","HLA-P","2","OTTHUMG00000172773.1",NA
"GL000250.2",1068817,1069613,797,"-","HAVANA","gene",797,NA,"ENSG00000237554.4","processed_pseudogene","RPL7AP7","2","OTTHUMG00000148715.1",NA
"GL000250.2",1078185,1078316,132,"-","HAVANA","gene",132,NA,"ENSG00000235714.1","unprocessed_pseudogene","MICG","2","OTTHUMG00000148716.1",NA
"GL000250.2",1092997,1093977,981,"-","HAVANA","gene",981,NA,"ENSG00000277480.1","unprocessed_pseudogene","HCG4P8","2","OTTHUMG00000148724.1",NA
"GL000250.2",1092579,1096751,4173,"+","HAVANA","gene",1836,NA,"ENSG00000276051.4","protein_coding","HLA-G","2","OTTHUMG00000148844.3",NA
"GL000250.2",1117760,1117891,132,"-","HAVANA","gene",132,NA,"ENSG00000278443.1","unprocessed_pseudogene","MICF","2","OTTHUMG00000148719.1",NA
"GL000250.2",1147035,1148001,967,"-","HAVANA","gene",967,NA,"ENSG00000228490.1","unprocessed_pseudogene","HCG4P7","2","OTTHUMG00000148727.1",NA
"GL000250.2",1147491,1150213,2723,"+","HAVANA","gene",1088,NA,"ENSG00000231904.3","unprocessed_pseudogene","HLA-H","2","OTTHUMG00000148718.1",NA
"GL000250.2",1156287,1157418,1132,"+","HAVANA","gene",450,NA,"ENSG00000232988.1","unprocessed_pseudogene","HLA-T","2","OTTHUMG00000148728.1",NA
"GL000250.2",1166252,1166618,367,"+","HAVANA","gene",192,NA,"ENSG00000235697.1","unprocessed_pseudogene","DDX39BP1","2","OTTHUMG00000148723.1",NA
"GL000250.2",1167491,1168353,863,"-","HAVANA","gene",328,NA,"ENSG00000224538.1","unprocessed_pseudogene","MCCD1P1","2","OTTHUMG00000148725.1",NA
"GL000250.2",1185660,1186650,991,"-","HAVANA","gene",991,NA,"ENSG00000231287.2","unprocessed_pseudogene","HCG4B","2","OTTHUMG00000148734.1",NA
"GL000250.2",1186136,1188913,2778,"+","HAVANA","gene",1037,NA,"ENSG00000233964.2","unprocessed_pseudogene","HLA-K","2","OTTHUMG00000148733.1",NA
"GL000250.2",1192024,1192209,186,"+","HAVANA","gene",186,NA,"ENSG00000227366.1","unprocessed_pseudogene","HLA-U","2","OTTHUMG00000148731.1",NA
"GL000250.2",1199822,1200814,993,"-","HAVANA","gene",993,NA,"ENSG00000234831.1","unprocessed_pseudogene","HCG4P5","2","OTTHUMG00000148729.1",NA
"GL000250.2",1214309,1216283,1975,"+","HAVANA","gene",771,NA,"ENSG00000235144.1","unprocessed_pseudogene","HLA-W","2","OTTHUMG00000148730.2",NA
"GL000250.2",1250921,1251317,397,"+","HAVANA","gene",258,NA,"ENSG00000235809.1","unprocessed_pseudogene","DDX39BP2","2","OTTHUMG00000148726.1",NA
"GL000250.2",1252149,1253026,878,"-","HAVANA","gene",335,NA,"ENSG00000236203.1","unprocessed_pseudogene","MCCD1P2","2","OTTHUMG00000148720.1",NA
"GL000250.2",1263830,1264825,996,"-","HAVANA","gene",996,NA,"ENSG00000223798.1","unprocessed_pseudogene","HCG4P3","2","OTTHUMG00000148722.1","overlapping_locus"
"GL000250.2",1264292,1267665,3374,"+","HAVANA","gene",1634,NA,"ENSG00000228524.7","transcribed_unprocessed_pseudogene","HLA-J","2","OTTHUMG00000148735.1",NA
"GL000250.2",1147348,1267669,120322,"+","HAVANA","gene",7498,NA,"ENSG00000229215.9","protein_coding","HLA-A","2","OTTHUMG00000148721.2",NA
"GL000250.2",1289773,1291063,1291,"+","HAVANA","gene",984,NA,"ENSG00000235372.1","processed_pseudogene","ETF1P1","2","OTTHUMG00000148775.1",NA
"GL000250.2",1293976,1294043,68,"+","ENSEMBL","gene",68,NA,"ENSG00000273601.1","misc_RNA","ZNRD1-AS1_1","3",NA,NA
"GL000250.2",1316213,1316288,76,"+","ENSEMBL","gene",76,NA,"ENSG00000276608.1","misc_RNA","ZNRD1-AS1_2","3",NA,NA
"GL000250.2",1319178,1319281,104,"+","ENSEMBL","gene",104,NA,"ENSG00000275424.1","misc_RNA","ZNRD1-AS1_3","3",NA,NA
"GL000250.2",1258723,1319738,61016,"-","HAVANA","gene",20819,NA,"ENSG00000236598.6","processed_transcript","ZNRD1ASP","2","OTTHUMG00000148736.1","overlapping_locus"
"GL000250.2",1316997,1323001,6005,"+","HAVANA","gene",3672,NA,"ENSG00000235443.6","protein_coding","ZNRD1","2","OTTHUMG00000148781.1","ncRNA_host"
"GL000250.2",1324801,1328425,3625,"+","HAVANA","gene",2538,NA,"ENSG00000233314.6","protein_coding","PPP1R11","2","OTTHUMG00000148778.2",NA
"GL000250.2",1328358,1333979,5622,"-","HAVANA","gene",2206,NA,"ENSG00000236967.8","protein_coding","RNF39","2","OTTHUMG00000148776.1",NA
"GL000250.2",1368539,1371196,2658,"-","HAVANA","gene",1409,NA,"ENSG00000224542.7","protein_coding","TRIM31","2","OTTHUMG00000148779.3",NA
"GL000250.2",1369808,1372814,3007,"+","HAVANA","gene",276,NA,"ENSG00000235722.1","processed_transcript","TRIM31-AS1","2","OTTHUMG00000148738.1",NA
"GL000250.2",1390898,1391059,162,"-","ENSEMBL","gene",162,NA,"ENSG00000265674.1","snoRNA","SNORA48","3",NA,NA
"GL000250.2",1394224,1406831,12608,"+","HAVANA","gene",2477,NA,"ENSG00000224496.7","protein_coding","TRIM40","2","OTTHUMG00000148777.2",NA
"GL000250.2",1410041,1419029,8989,"-","HAVANA","gene",3546,NA,"ENSG00000237703.8","protein_coding","TRIM10","2","OTTHUMG00000148780.1",NA
"GL000250.2",1421286,1430776,9491,"+","HAVANA","gene",2515,NA,"ENSG00000235259.8","protein_coding","TRIM15","2","OTTHUMG00000148737.2",NA
"GL000250.2",1444849,1446672,1824,"-","HAVANA","gene",1203,NA,"ENSG00000236798.1","processed_pseudogene","PAIP1P1","2","OTTHUMG00000148739.1","overlapping_locus"
"GL000250.2",1442506,1471482,28977,"-","HAVANA","gene",4377,NA,"ENSG00000228881.7","protein_coding","TRIM26","2","OTTHUMG00000148847.3","overlapping_locus"
"GL000250.2",1496350,1500326,3977,"+","HAVANA","gene",753,NA,"ENSG00000249434.1","unprocessed_pseudogene","TRIM26BP","2","OTTHUMG00000148740.1",NA
"GL000250.2",1492088,1655624,163537,"-","HAVANA","gene",641,NA,"ENSG00000236729.6","processed_transcript","HCG17","2","OTTHUMG00000148748.2","overlapping_locus"
"GL000250.2",1620298,1656640,36343,"-","HAVANA","gene",5419,NA,"ENSG00000235727.7","processed_transcript","HCG18","2","OTTHUMG00000148743.2","overlapping_locus"
"GL000250.2",1655969,1673225,17257,"+","HAVANA","gene",4226,NA,"ENSG00000230308.10","protein_coding","TRIM39","2","OTTHUMG00000148747.2",NA
"GL000250.2",1658802,1676380,17579,"+","HAVANA","gene",2717,NA,"ENSG00000241779.6","protein_coding","RPP21","2","OTTHUMG00000148741.1",NA
"GL000250.2",1680912,1681046,135,"+","HAVANA","gene",135,NA,"ENSG00000232232.1","unprocessed_pseudogene","HLA-N","2","OTTHUMG00000148742.1",NA
"GL000250.2",1688775,1689408,634,"-","HAVANA","gene",634,NA,"ENSG00000229149.1","processed_pseudogene","HCG19P","2","OTTHUMG00000148744.1",NA
"GL000250.2",1692607,1693775,1169,"-","HAVANA","gene",1169,NA,"ENSG00000223560.1","processed_pseudogene","UBQLN1P1","2","OTTHUMG00000148745.1",NA
"GL000250.2",1744211,1748815,4605,"+","HAVANA","gene",1055,NA,"ENSG00000236727.1","unprocessed_pseudogene","MICC","2","OTTHUMG00000148746.1",NA
"GL000250.2",1845770,1848724,2955,"+","HAVANA","gene",851,NA,"ENSG00000225382.1","processed_transcript","XXbac-BPG249D20.9","2","OTTHUMG00000148794.1",NA
"GL000250.2",1870881,1883062,12182,"-","HAVANA","gene",6707,NA,"ENSG00000206412.6","protein_coding","GNL1","2","OTTHUMG00000148795.3",NA
"GL000250.2",1988978,2002543,13566,"-","HAVANA","gene",2766,NA,"ENSG00000227222.7","protein_coding","DHX16","2","OTTHUMG00000148755.3",NA
"GL000250.2",2005896,2017402,11507,"-","HAVANA","gene",4599,NA,"ENSG00000230341.8","protein_coding","PPP1R18","2","OTTHUMG00000148752.1",NA
"GL000250.2",2017554,2020927,3374,"-","HAVANA","gene",2045,NA,"ENSG00000228854.8","protein_coding","NRM","2","OTTHUMG00000148758.1",NA
"GL000250.2",2026311,2027040,730,"-","HAVANA","gene",730,NA,"ENSG00000236100.1","processed_pseudogene","RPL7P4","2","OTTHUMG00000148756.1",NA
"GL000250.2",2032572,2042688,10117,"+","HAVANA","gene",738,NA,"ENSG00000231860.1","processed_transcript","MDC1-AS1","2","OTTHUMG00000148749.1",NA
"GL000250.2",2029312,2047393,18082,"-","HAVANA","gene",8064,NA,"ENSG00000234012.9","protein_coding","MDC1","2","OTTHUMG00000148757.2",NA
"GL000250.2",2049704,2054929,5226,"+","HAVANA","gene",3359,NA,"ENSG00000224156.10","protein_coding","TUBB","2","OTTHUMG00000148754.1",NA
"GL000250.2",2057212,2060006,2795,"-","HAVANA","gene",678,NA,"ENSG00000223654.3","protein_coding","FLOT1","2","OTTHUMG00000148753.2",NA
"GL000250.2",2214729,2218933,4205,"+","HAVANA","gene",945,NA,"ENSG00000229767.9","protein_coding","DDR1","2","OTTHUMG00000148751.3",NA
"GL000250.2",2313218,2319398,6181,"+","HAVANA","gene",3793,NA,"ENSG00000231350.5","protein_coding","MUC21","2","OTTHUMG00000148759.1",NA
"GL000250.2",2359750,2364549,4800,"+","HAVANA","gene",612,NA,"ENSG00000237108.1","processed_transcript","XXbac-BPG118E17.9","2","OTTHUMG00000148750.1",NA
"GL000250.2",2386642,2392447,5806,"+","HAVANA","gene",2116,NA,"ENSG00000228147.5","processed_transcript","HCG22","2","OTTHUMG00000148760.1",NA
"GL000250.2",2829257,2829358,102,"-","ENSEMBL","gene",102,NA,"ENSG00000266548.1","misc_RNA","Y_RNA","3",NA,NA
"GL000250.2",2827449,2843674,16226,"+","HAVANA","gene",2798,NA,"ENSG00000231179.9","protein_coding","MICB","2","OTTHUMG00000148774.1",NA
"GL000250.2",2852030,2852841,812,"-","HAVANA","gene",498,NA,"ENSG00000230616.4","processed_pseudogene","PPIAP9","2","OTTHUMG00000148771.1",NA
"GL000250.2",2860663,2861242,580,"+","HAVANA","gene",580,NA,"ENSG00000233965.1","processed_pseudogene","RPL15P4","2","OTTHUMG00000148773.1",NA
"GL000250.2",2861266,2862781,1516,"+","HAVANA","gene",955,NA,"ENSG00000225228.2","protein_coding","MCCD1","2","OTTHUMG00000148772.1",NA
"GL000250.2",2868923,2868998,76,"-","ENSEMBL","gene",76,NA,"ENSG00000265849.1","snoRNA","SNORD117","3",NA,NA
"GL000250.2",2862768,2871733,8966,"-","HAVANA","gene",4790,NA,"ENSG00000237889.11","protein_coding","DDX39B","2","OTTHUMG00000148789.4","ncRNA_host"
"GL000250.2",2909113,2910915,1803,"+","HAVANA","gene",1315,NA,"ENSG00000228978.2","protein_coding","TNF","2","OTTHUMG00000148782.2",NA
"GL000250.2",2913134,2915101,1968,"-","HAVANA","gene",926,NA,"ENSG00000231314.7","protein_coding","LTB","2","OTTHUMG00000148787.1",NA
"GL000250.2",2918703,2921488,2786,"+","HAVANA","gene",2294,NA,"ENSG00000235915.8","protein_coding","LST1","2","OTTHUMG00000148785.2",NA
"GL000250.2",2921474,2925564,4091,"-","HAVANA","gene",1212,NA,"ENSG00000236315.6","protein_coding","NCR3","2","OTTHUMG00000148786.2",NA
"GL000250.2",2943692,2943965,274,"-","HAVANA","gene",274,NA,"ENSG00000238126.1","processed_pseudogene","UQCRHP1","2","OTTHUMG00000148783.1",NA
"GL000250.2",3089563,3089665,103,"-","ENSEMBL","gene",103,NA,"ENSG00000266231.1","snRNA","U6","3",NA,NA
"GL000250.2",3089204,3095756,6553,"+","HAVANA","gene",3250,NA,"ENSG00000233345.9","protein_coding","MSH5","2","OTTHUMG00000148848.5","overlapping_locus"
"GL000250.2",3095411,3097463,2053,"+","HAVANA","gene",1557,NA,"ENSG00000227861.9","protein_coding","SAPCD1","2","OTTHUMG00000148796.1","overlapping_locus"
"GL000250.2",3090777,3097463,6687,"+","HAVANA","gene",3019,NA,"ENSG00000264619.6","protein_coding","MSH5-SAPCD1","2","OTTHUMG00000179491.2","overlapping_locus"
"GL000250.2",3096922,3098200,1279,"-","HAVANA","gene",461,NA,"ENSG00000236912.1","processed_transcript","SAPCD1-AS1","2","OTTHUMG00000148797.1",NA
"GL000250.2",3098202,3109905,11704,"-","HAVANA","gene",3638,NA,"ENSG00000238203.8","protein_coding","VWA7","2","OTTHUMG00000148784.1",NA
"GL000250.2",3111428,3111516,89,"-","ENSEMBL","gene",89,NA,"ENSG00000264393.1","misc_RNA","Y_RNA","3",NA,NA
"GL000250.2",3110129,3128564,18436,"-","HAVANA","gene",6081,NA,"ENSG00000231116.9","protein_coding","VARS","2","OTTHUMG00000148788.3","ncRNA_host"
"GL000250.2",3130007,3139596,9590,"-","HAVANA","gene",1119,NA,"ENSG00000224979.6","protein_coding","LSM2","2","OTTHUMG00000148799.1",NA
"GL000250.2",3142241,3147687,5447,"-","HAVANA","gene",2544,NA,"ENSG00000226704.6","protein_coding","HSPA1L","2","OTTHUMG00000148803.1",NA
"GL000250.2",3148086,3150568,2483,"+","HAVANA","gene",2483,NA,"ENSG00000235941.5","protein_coding","HSPA1A","2","OTTHUMG00000148802.1",NA
"GL000250.2",3160360,3162874,2515,"+","HAVANA","gene",2515,NA,"ENSG00000232804.5","protein_coding","HSPA1B","2","OTTHUMG00000148800.2",NA
"GL000250.2",3167878,3167940,63,"+","ENSEMBL","gene",63,NA,"ENSG00000263864.1","snoRNA","SNORD48","3",NA,NA
"GL000250.2",3169692,3169758,67,"+","ENSEMBL","gene",67,NA,"ENSG00000266300.1","snoRNA","SNORD52","3",NA,NA
"GL000250.2",3167223,3172381,5159,"+","HAVANA","gene",1803,NA,"ENSG00000234728.9","protein_coding","C6orf48","2","OTTHUMG00000148798.2","ncRNA_host"
"GL000250.2",3190275,3195522,5248,"-","HAVANA","gene",4822,NA,"ENSG00000228691.6","protein_coding","NEU1","2","OTTHUMG00000148801.2",NA
"GL000250.2",3195808,3211661,15854,"-","HAVANA","gene",3369,NA,"ENSG00000235336.8","protein_coding","SLC44A4","2","OTTHUMG00000148804.1",NA
"GL000250.2",3216376,3216669,294,"+","HAVANA","gene",223,NA,"ENSG00000232266.1","processed_transcript","DAQB-331I12.5","2","OTTHUMG00000148805.1",NA
"GL000250.2",3212374,3230309,17936,"-","HAVANA","gene",7289,NA,"ENSG00000232045.7","protein_coding","EHMT2","2","OTTHUMG00000148806.2",NA
"GL000250.2",3411109,3411229,121,"-","ENSEMBL","gene",121,NA,"ENSG00000266653.1","rRNA","5S_rRNA","3",NA,NA
"GL000250.2",3406268,3418718,12451,"-","HAVANA","gene",1902,NA,"ENSG00000229341.2","protein_coding","TNXB","2","OTTHUMG00000148845.3","ncRNA_host"
"GL000250.2",3480957,3486972,6016,"-","HAVANA","gene",4261,NA,"ENSG00000238056.9","protein_coding","PRRT1","2","OTTHUMG00000148807.2",NA
"GL000250.2",3497184,3500883,3700,"+","HAVANA","gene",2622,NA,"ENSG00000240389.5","protein_coding","EGFL8","2","OTTHUMG00000148809.4","overlapping_locus"
